Luas_Tanah,Luas_Bangunan,Jumlah_Kamar_Tidur,Umur_Bangunan,Jarak_ke_Pusat_Kota,Harga_Properti
196.43,135.71,3,13,17.83,3392.16
385.92,351.38,5,3,12.7,5000.0
342.33,112.73,4,21,5.43,4959.01
432.15,386.39,2,22,1.46,5000.0
345.93,34.5,4,24,17.53,3182.48
305.74,305.74,4,0,1.4,5000.0
92.15,45.97,3,30,17.62,1870.16
215.47,215.47,4,21,11.05,4398.66
169.34,169.34,1,22,18.84,3185.78
159.8,159.8,3,18,16.18,3257.5
487.85,57.3,1,7,19.96,2956.15
226.89,226.89,2,14,7.66,4825.41
451.42,388.64,3,20,15.58,5000.0
334.01,223.55,2,14,8.64,5000.0
407.67,262.88,3,8,10.12,5000.0
276.19,276.19,5,20,12.92,5000.0
309.61,198.18,4,8,17.6,5000.0
271.63,262.2,5,9,19.7,5000.0
137.86,137.86,2,19,15.6,3115.04
375.1,363.43,4,24,8.94,5000.0
176.35,46.82,3,20,9.01,3200.81
60.94,60.94,4,25,15.01,2177.23
340.46,340.46,1,8,5.54,5000.0
129.7,129.7,4,2,3.1,4757.13
473.21,198.59,1,30,7.74,5000.0
479.27,259.45,4,19,6.46,5000.0
461.69,132.63,1,24,6.63,4321.82
216.57,99.6,2,25,5.44,3573.91
56.96,56.96,5,10,1.8,3759.46
467.74,160.74,3,5,1.34,5000.0
242.68,242.68,4,1,19.77,5000.0
484.99,58.76,5,6,9.13,5000.0
483.63,390.53,3,17,8.3,5000.0
433.85,394.9,3,26,13.91,5000.0
